video_id,username,video_url,error
7558105868546362637,oneymez,https://www.tiktok.com/@oneymez/video/7558105868546362637,Download failed
7558105686123564302,money247007,https://www.tiktok.com/@money247007/video/7558105686123564302,Download failed
7558105765219683639,shsqrigp3ed,https://www.tiktok.com/@shsqrigp3ed/video/7558105765219683639,Skipped: video too long (186s > 180s limit)
7558105826641104158,primetimepiece,https://www.tiktok.com/@primetimepiece/video/7558105826641104158,Download failed
7558106238521822519,lucky.empire.rei,https://www.tiktok.com/@lucky.empire.rei/video/7558106238521822519,Download failed
7558107120911027511,cmonroe2021,https://www.tiktok.com/@cmonroe2021/video/7558107120911027511,Download failed
7558107141291134263,dalfuraah12,https://www.tiktok.com/@dalfuraah12/video/7558107141291134263,Download failed
7558107549199863054,molly.kerns,https://www.tiktok.com/@molly.kerns/video/7558107549199863054,Download failed
7558107618636582175,dcq1jotvv3,https://www.tiktok.com/@dcq1jotvv3/video/7558107618636582175,Download failed
7558107931967769886,marktapiaoimtdy,https://www.tiktok.com/@marktapiaoimtdy/video/7558107931967769886,Skipped: video too long (181s > 180s limit)
7558108075161292062,luhtwn._,https://www.tiktok.com/@luhtwn._/video/7558108075161292062,Download failed
7558108128831753486,user16276509901754,https://www.tiktok.com/@user16276509901754/video/7558108128831753486,Skipped: video too long (180s > 180s limit)
7558108081184328973,civiccipher,https://www.tiktok.com/@civiccipher/video/7558108081184328973,Skipped: video too long (246s > 180s limit)
7558108188269202702,abiola.2246,https://www.tiktok.com/@abiola.2246/video/7558108188269202702,Download failed
7558108197723114782,familyfun4all,https://www.tiktok.com/@familyfun4all/video/7558108197723114782,Skipped: video too long (459s > 180s limit)
7558108066529430798,mildlyunpredictab,https://www.tiktok.com/@mildlyunpredictab/video/7558108066529430798,Download failed
7558107936401280311,migaynieto,https://www.tiktok.com/@migaynieto/video/7558107936401280311,Download failed
7558108696115481869,y8ydg4p6w5,https://www.tiktok.com/@y8ydg4p6w5/video/7558108696115481869,Download failed
7558108826671533326,migaynieto,https://www.tiktok.com/@migaynieto/video/7558108826671533326,Download failed
7558108914408115511,migaynieto,https://www.tiktok.com/@migaynieto/video/7558108914408115511,Download failed
7558108883810618654,bertha9509,https://www.tiktok.com/@bertha9509/video/7558108883810618654,Download failed
7558109099687283981,migaynieto,https://www.tiktok.com/@migaynieto/video/7558109099687283981,Download failed
7558108988366261518,shebuysland,https://www.tiktok.com/@shebuysland/video/7558108988366261518,Download failed
7558109331598658847,sebasitinasaldarriaga,https://www.tiktok.com/@sebasitinasaldarriaga/video/7558109331598658847,Download failed
7558109265722920222,fwl5dhs568,https://www.tiktok.com/@fwl5dhs568/video/7558109265722920222,Download failed
7558108696115563789,yzbaobaom298,https://www.tiktok.com/@yzbaobaom298/video/7558108696115563789,Download failed
7558109423667825933,casablankk,https://www.tiktok.com/@casablankk/video/7558109423667825933,Download failed
7558109342990355725,mzdwko21p1,https://www.tiktok.com/@mzdwko21p1/video/7558109342990355725,Download failed
7558109617503456526,migaynieto,https://www.tiktok.com/@migaynieto/video/7558109617503456526,Download failed
7558109540017917239,tr.news79,https://www.tiktok.com/@tr.news79/video/7558109540017917239,Skipped: video too long (191s > 180s limit)
7558109751524085005,maryannechisholmart,https://www.tiktok.com/@maryannechisholmart/video/7558109751524085005,Skipped: video too long (196s > 180s limit)
7558109821455666445,myarhidupont,https://www.tiktok.com/@myarhidupont/video/7558109821455666445,Download failed
7558109828430777631,gt.got.nq,https://www.tiktok.com/@gt.got.nq/video/7558109828430777631,Download failed
7558109739201203470,grasiananasciment8,https://www.tiktok.com/@grasiananasciment8/video/7558109739201203470,Download failed
7558109879030877495,zachrector210,https://www.tiktok.com/@zachrector210/video/7558109879030877495,Download failed
7558110135780937015,migaynieto,https://www.tiktok.com/@migaynieto/video/7558110135780937015,Download failed
7558110075672366349,migaynieto,https://www.tiktok.com/@migaynieto/video/7558110075672366349,Download failed
7558110601491270967,migaynieto,https://www.tiktok.com/@migaynieto/video/7558110601491270967,Download failed
7558110803396676877,bolognabrief,https://www.tiktok.com/@bolognabrief/video/7558110803396676877,Download failed
7558110872875306295,cook.with.jay,https://www.tiktok.com/@cook.with.jay/video/7558110872875306295,Download failed
7558111156963904782,breakingnews221190,https://www.tiktok.com/@breakingnews221190/video/7558111156963904782,Download failed
7558111279135591693,jae.militia,https://www.tiktok.com/@jae.militia/video/7558111279135591693,Skipped: video too long (201s > 180s limit)
7558110290085268766,exactpress,https://www.tiktok.com/@exactpress/video/7558110290085268766,Skipped: video too long (565s > 180s limit)
7558111472379792670,jimmers7311,https://www.tiktok.com/@jimmers7311/video/7558111472379792670,Download failed
7558111645734636814,joe.garro,https://www.tiktok.com/@joe.garro/video/7558111645734636814,Download failed
7558111967198727455,ilovelamp630,https://www.tiktok.com/@ilovelamp630/video/7558111967198727455,Download failed
7558112025524718879,bixin6bbb,https://www.tiktok.com/@bixin6bbb/video/7558112025524718879,Download failed
7558111983220870430,bixin6bbb,https://www.tiktok.com/@bixin6bbb/video/7558111983220870430,Download failed
7558112210812292365,vincentwisdomx,https://www.tiktok.com/@vincentwisdomx/video/7558112210812292365,Download failed
7558112479591599374,dosmildestinos,https://www.tiktok.com/@dosmildestinos/video/7558112479591599374,Download failed
7558112661670497591,cbpraxis,https://www.tiktok.com/@cbpraxis/video/7558112661670497591,Download failed
